size,quick bst,merge bst,quick avg,merge avg,quick worst,merge worst
19800,0,0,0,0,0,0
19900,0,0,10089000,0,5584000,0
20000,0,15712000,0,0,0,0
20100,0,0,0,16053000,0,0
20200,0,0,0,0,0,0
20300,0,0,0,0,0,0
20400,0,0,10084000,0,571000,5589000
20500,0,15583000,0,0,0,0
20600,0,0,586000,15877000,0,0
20700,0,0,0,0,0,0
20800,0,0,0,0,15230000,0
20900,5001000,0,0,10002000,0,707000
21000,0,0,15091000,0,0,0
21100,0,0,0,0,0,0
21200,0,10087000,0,0,5597000,0
21300,0,0,0,0,0,0
21400,2843000,0,16445000,0,0,1464000
21500,0,0,0,0,0,0
21600,0,0,0,0,1731000,16573000
21700,0,0,5002000,0,0,0
21800,0,0,0,0,0,0
21900,0,0,10001000,0,5502000,0
22000,0,15872000,0,0,0,0
22100,0,0,0,453000,10087000,0
22200,0,0,0,0,15713000,0
22300,334000,15626000,0,0,0,0
22400,0,0,0,5593000,0,0
22500,0,0,0,0,15614000,0
22600,0,0,0,10084000,0,5582000
22700,0,0,15735000,0,0,0
22800,0,0,0,0,0,0
22900,0,0,0,10095000,0,0
23000,0,0,1164000,15714000,0,0
23100,0,10100000,0,0,5596000,0
23200,0,17138000,0,0,0,0
23300,0,0,0,0,10087000,0
23400,0,0,0,0,15625000,0
23500,0,15860000,0,0,0,0
23600,0,0,0,0,0,0
23700,0,16035000,0,0,0,0
23800,0,0,0,0,0,0
23900,0,0,0,0,0,15221000
24000,0,0,0,5588000,0,0
24100,0,0,15583000,0,0,0
24200,0,0,0,0,0,10089000
24300,15724000,0,0,0,0,0
24400,0,0,0,16164000,10085000,0
24500,0,0,0,0,0,15708000
24600,0,0,0,16299000,10094000,0
24700,0,0,0,0,0,15712000
24800,0,0,454000,15626000,10082000,0
24900,0,0,0,0,15706000,0
25000,0,0,15955000,0,0,0
25100,0,0,0,0,15579000,0
25200,0,16741000,0,0,0,0
25300,0,0,0,0,15710000,0
25400,0,0,15626000,0,0,0
25500,10080000,0,0,0,5090000,0
25600,0,14585000,0,0,0,0
25700,10104000,0,0,0,0,0
25800,880000,15710000,0,0,0,0
25900,0,0,0,0,0,9598000
26000,0,766000,15701000,0,0,0
26100,0,10002000,0,0,5501000,0
26200,0,0,16496000,0,0,0
26300,0,9599000,0,0,5594000,0
26400,0,0,14012000,0,0,0
26500,0,10084000,0,0,5594000,0
26600,0,0,15632000,0,0,0
26700,0,0,0,0,0,15775000
26800,0,0,5506000,0,0,0
26900,0,0,0,0,0,16256000
27000,0,0,0,5502000,0,0
27100,16065000,0,0,0,0,0
27200,0,0,0,0,16090000,0
27300,0,303000,16036000,0,0,0
27400,0,0,0,0,15665000,0
27500,0,0,17166000,0,9502000,0
27600,0,0,0,0,0,16058000
27700,10089000,0,0,0,5582000,0
27800,0,0,15995000,0,0,0
27900,0,0,10189000,0,0,5501000
28000,0,0,0,0,0,0
28100,0,0,0,98000,0,10078000
28200,0,16393000,0,0,0,0
28300,0,9588000,0,0,6392000,0
28400,0,0,658000,15006000,0,0
28500,6751000,0,9501000,0,0,0
28600,0,0,0,0,15785000,0
28700,0,0,5501000,0,0,0
28800,0,0,0,0,0,15774000
28900,0,0,0,1164000,0,0
29000,0,1023000,15254000,0,0,0
29100,0,0,0,0,0,15513000
29200,9002000,0,0,1020000,5508000,0
29300,0,0,16984000,0,0,0
29400,12990000,0,0,0,0,0
29500,0,0,0,0,15631000,0
29600,0,0,0,16113000,0,10001000
29700,0,0,16528000,0,0,0
29800,0,0,5502000,10120000,0,0
29900,16117000,0,0,0,0,0
30000,0,0,0,0,16033000,0
30100,0,0,16674000,0,10003000,0
30200,0,15858000,0,0,0,0
30300,0,10042000,0,0,0,5513000
30400,0,0,0,0,16087000,0
30500,0,0,5512000,0,0,0
30600,0,15992000,0,0,0,0
30700,0,5501000,0,10052000,0,0
30800,15900000,0,0,0,0,0
30900,0,0,0,0,15918000,0
31000,0,0,0,17499000,5594000,9079000
31100,0,4038000,15909000,0,6863000,0
31200,0,0,5507000,0,0,0
31300,0,584000,15810000,0,0,0
31400,951000,15090000,0,0,0,0
31500,0,0,10001000,0,0,5502000
31600,0,0,0,0,15001000,0
31700,0,0,0,17884000,5078000,9039000
31800,0,0,16110000,0,0,0
31900,0,0,5506000,0,0,0
32000,0,15887000,0,0,0,0
32100,0,15836000,0,0,0,0
32200,0,0,10001000,0,0,0
32300,0,0,0,0,1057000,16012000
32400,0,0,0,0,16104000,0
32500,0,0,0,16382000,0,10002000
32600,0,0,15984000,0,0,0
32700,0,0,5594000,0,0,0
32800,0,16519000,0,0,0,0
32900,0,5590000,0,10092000,0,0
33000,0,0,15729000,0,9589000,0
33100,0,0,15085000,0,0,0
33200,0,6368000,0,9512000,0,0
33300,0,583000,15386000,0,9507000,0
33400,502000,16840000,0,0,0,0
33500,0,5836000,9589000,0,0,0
33600,16826000,0,0,0,0,0
33700,15093000,0,0,0,0,0
33800,0,0,0,0,0,16027000
33900,0,0,0,0,709000,15630000
34000,0,10002000,0,0,1807000,5502000
34100,0,0,0,0,0,16399000
34200,0,0,0,0,0,15630000
34300,5501000,0,10003000,0,0,941000
34400,0,0,0,0,0,0
34500,16072000,0,0,0,0,0
34600,5865000,0,10122000,0,0,0
34700,8572000,0,0,2580000,0,0
34800,13578000,0,0,0,0,0
34900,688000,16323000,0,0,0,0
35000,0,15085000,0,0,0,0
35100,0,5586000,0,8007000,0,0
35200,0,16556000,0,0,9744000,0
35300,0,0,15785000,0,0,0
35400,0,0,5501000,10158000,0,0
35500,0,0,16348000,0,10117000,0
35600,0,0,19565000,0,0,0
35700,0,0,0,5501000,15725000,0
35800,0,0,0,16309000,5512000,10009000
35900,0,0,0,15684000,15825000,0
36000,10001000,0,0,454000,5501000,0
36100,0,0,0,0,0,16174000
36200,15785000,0,0,0,0,0
36300,0,5514000,10009000,0,0,0
36400,0,15901000,0,0,10091000,0
36500,0,0,15761000,0,0,0
36600,0,0,1319000,5508000,14506000,0
36700,0,10077000,0,0,6708000,0
36800,0,0,0,0,502000,16127000
36900,6105000,0,10168000,0,0,0
37000,0,16128000,0,0,0,0
37100,0,16439000,0,0,0,0
37200,0,0,5742000,10001000,0,0
37300,0,0,15993000,0,5501000,10129000
37400,0,0,0,15002000,16212000,0
37500,0,0,0,0,0,16046000
37600,5512000,0,10100000,0,0,0
37700,0,16112000,0,0,10141000,0
37800,0,0,15908000,0,0,0
37900,0,0,648000,15901000,5501000,0
38000,0,0,0,0,0,15266000
38100,15708000,0,0,0,0,0
38200,0,0,5599000,10080000,0,0
38300,0,0,0,16498000,5588000,0
38400,0,0,0,0,0,15351000
38500,559000,16261000,0,0,0,0
38600,0,0,5591000,9590000,0,0
38700,0,0,7089000,0,15955000,0
38800,0,0,0,0,0,16325000
38900,0,6237000,10084000,0,0,0
39000,0,0,16481000,0,0,9503000
39100,0,0,0,17123000,14822000,0
39200,15859000,0,0,0,0,0
39300,0,5502000,0,9507000,0,0
39400,0,0,16020000,0,6148000,0
39500,0,0,0,0,0,16424000
39600,0,16139000,0,0,0,0
39700,0,0,15744000,0,5508000,10087000
39800,0,0,0,16167000,432000,15502000
39900,15006000,0,0,0,0,0
40000,0,0,5593000,5584000,0,0
40100,10310000,0,0,16387000,5093000,0
40200,16448000,0,0,0,0,0
40300,0,0,10502000,0,0,0
40400,0,0,0,7490000,13902000,0
40500,5505000,0,10003000,0,0,0
40600,0,0,16116000,0,0,15828000
40700,0,0,15999000,0,15898000,0
40800,0,15625000,0,0,0,0
40900,0,0,5502000,0,15665000,0
41000,0,5501000,10001000,0,0,0
41100,0,0,16041000,0,5509000,10086000
41200,15964000,0,0,0,0,0
41300,0,0,0,16057000,0,15783000
41400,0,15704000,0,0,0,16035000
41500,0,0,15713000,0,15925000,0
41600,0,15835000,0,15715000,5579000,10002000
41700,0,0,10080000,15854000,0,0
41800,0,0,16534000,0,5501000,9508000
41900,0,0,0,657000,0,15735000
42000,0,0,5751000,10081000,0,0
42100,0,10077000,0,15395000,0,5507000
42200,0,0,15148000,0,10039000,0
42300,0,0,0,15625000,0,15969000
42400,0,15006000,0,0,0,0
42500,9908000,0,0,6524000,5141000,0
42600,0,5502000,10061000,0,0,0
42700,10002000,0,0,15197000,0,5009000
42800,0,15090000,0,0,0,0
42900,0,0,0,5592000,0,15641000
43000,0,5002000,10003000,0,0,0
43100,0,10086000,0,15865000,0,5589000
43200,0,0,15791000,0,5585000,10078000
43300,15612000,0,0,0,0,0
43400,0,0,15710000,0,15632000,0
43500,0,5581000,10097000,0,0,0
43600,0,10085000,0,16149000,0,5584000
43700,0,0,15887000,0,5592000,10091000
43800,0,16018000,0,0,10088000,0
43900,0,0,0,15706000,0,16005000
44000,0,0,15712000,0,15620000,0
44100,0,15708000,0,0,0,0
44200,0,10088000,0,15980000,0,5589000
44300,0,0,15814000,0,5602000,0
44400,0,15927000,0,0,10084000,0
44500,0,0,0,0,0,15825000
44600,0,0,15719000,0,15978000,0
44700,0,15723000,0,0,0,0
44800,0,0,0,5582000,0,15713000
44900,0,0,16216000,0,5088000,10093000
45000,0,242000,15616000,0,10092000,0
45100,15926000,0,0,0,10077000,0
45200,0,0,0,15707000,15892000,0
45300,0,0,15712000,0,16151000,0
45400,15713000,0,0,0,0,0
45500,0,0,0,5606000,0,15709000
45600,0,0,15901000,0,5588000,10086000
45700,0,15831000,0,0,10077000,0
45800,0,0,0,15711000,0,15801000
45900,0,0,15708000,0,16278000,0
46000,0,15721000,0,0,0,0
46100,0,0,0,5089000,0,15707000
46200,0,0,5094000,0,15715000,0
46300,0,16576000,0,0,10089000,0
46400,15836000,0,0,0,10083000,0
46500,0,0,0,15707000,0,15768000
46600,0,0,15705000,0,16063000,0
46700,0,0,15710000,0,16075000,0
46800,0,15706000,0,0,0,0
46900,5095000,0,10085000,0,0,0
47000,10092000,0,0,15877000,0,5588000
47100,0,0,15856000,0,5595000,10095000
47200,0,16060000,0,0,10088000,0
47300,15623000,0,0,0,0,735000
47400,0,0,0,15714000,0,16365000
47500,0,0,15710000,0,15628000,0
47600,0,0,5591000,10090000,15715000,0
47700,0,5095000,10090000,0,0,0
47800,0,5590000,10083000,0,0,0
47900,5585000,10082000,0,0,0,0
48000,10084000,0,0,16213000,0,5088000
48100,10083000,0,16409000,0,5086000,0
48200,0,0,15614000,0,16113000,0
48300,0,0,15713000,0,15931000,0
48400,0,0,15716000,0,16313000,0
48500,0,15715000,0,0,0,0
48600,15714000,0,0,0,0,0
48700,15713000,0,0,5577000,0,0
48800,0,5588000,10078000,0,0,0
48900,5588000,0,10079000,0,0,0
49000,5086000,10089000,0,16335000,0,0
