array_size,best_time,worst_time,avg_time
35400,1.043956,1.055731,0.976257
35600,0.946345,0.938670,0.887204
35800,1.059176,0.942375,0.901571
36000,0.894935,1.085512,0.857299
36200,0.871373,1.030044,0.916056
36400,1.035265,0.899662,0.930898
36600,0.922174,0.958081,0.921918
36800,1.029946,0.915370,0.942157
37000,0.893085,0.938500,0.891154
37200,0.887932,1.378487,1.665786
37400,0.953561,1.006673,1.010692
37600,0.968575,1.112969,0.950369
37800,1.223680,1.082926,1.147976
38000,0.956851,1.065365,1.141393
38200,0.970960,1.024260,0.992310
38400,1.012867,1.096446,1.211067
38600,1.229562,1.380850,1.218427
38800,1.265280,1.336406,1.224184
39000,1.317668,1.431447,1.451131
39200,1.247416,1.296443,1.301832
39400,1.320533,1.309840,1.297763
39600,1.229194,1.207027,1.254238
39800,1.323496,1.480954,1.330649
40000,1.358616,1.475689,1.281192
40200,2.290309,1.660856,1.562539
40400,1.383279,1.498990,1.458459
40600,2.014204,1.432570,1.423075
40800,1.240439,1.131913,1.440019
41000,1.334866,1.557579,1.340922
41200,1.370133,1.169057,1.222536
41400,1.391428,1.495951,1.199346
41600,1.408175,1.501059,1.349305
41800,1.288285,1.415301,1.420331
42000,1.313187,1.445859,1.271880
42200,1.507691,1.599125,1.336199
42400,1.538894,1.524024,1.449641
42600,1.406833,1.867051,1.671810
42800,1.377365,1.436239,1.442584
43000,1.482585,1.473660,1.294134
43200,1.515126,1.405366,1.560381
43400,1.255381,1.558254,2.640779
43600,1.859838,1.942569,2.293460
43800,3.051004,2.566637,2.209680
44000,2.017464,2.118051,2.908944
44200,2.289286,2.174128,3.150328
44400,2.018103,1.922396,1.578635
44600,1.996563,2.320948,2.367554
44800,2.177553,2.061230,1.806978
45000,1.987112,2.862954,2.300718
45200,1.797136,1.863991,2.536697
45400,2.577574,1.960050,2.269012
45600,2.803710,2.119470,2.450985
45800,2.518237,2.995833,2.537764
46000,2.151612,2.185293,1.802446
46200,1.881736,1.825234,1.739965
46400,2.105941,2.066174,1.805487
46600,2.052315,2.019320,1.587624
46800,1.661016,2.064960,1.758152
47000,1.767463,1.876505,1.977277
47200,1.939116,1.766678,1.595231
47400,1.711150,2.131447,2.077563
47600,1.640526,2.134565,1.741674
47800,1.955874,2.071521,1.719474
48000,1.783295,1.876506,1.633538
48200,1.673020,1.740658,1.783995
48400,1.729100,1.655460,1.744182
48600,1.763878,1.875607,1.835700
48800,1.958700,2.267885,1.895775
49000,1.874460,1.767653,1.666659
49200,1.800982,2.178510,1.888338
49400,1.706946,1.908958,1.772831
49600,1.972532,2.057259,1.757103
49800,2.125095,1.894718,1.755531
50000,1.801721,1.926597,2.111081
50200,1.906764,1.915034,2.247893
50400,2.009039,1.818401,2.200583
