array_size,best_time,worst_time,avg_time
35400,0.000126,1.068688,0.000206
35600,0.000078,1.208122,0.000205
35800,0.000220,1.425612,0.000208
36000,0.000072,1.308928,0.000228
36200,0.000084,1.242567,0.000197
36400,0.000072,1.341103,0.000312
36600,0.000122,1.146447,0.000178
36800,0.000086,1.185053,0.000313
37000,0.000098,1.300150,0.012402
37200,0.000074,1.218728,0.073850
37400,0.000168,1.286220,0.000401
37600,0.000252,1.270583,0.000522
37800,0.000075,1.286456,0.000574
38000,0.000135,1.377093,0.000624
38200,0.000121,1.324507,0.000490
38400,0.000078,1.383790,0.023700
38600,0.000123,1.762202,0.014681
38800,0.000107,1.729895,0.095251
39000,0.000140,1.639479,0.000918
39200,0.000136,1.659539,0.000365
39400,0.000104,1.716952,0.000592
39600,0.000141,1.598612,0.000505
39800,0.000138,1.723869,0.000533
40000,0.000083,1.803448,0.000766
40200,0.000052,2.523292,0.000440
40400,0.000181,2.079686,0.000436
40600,0.000135,1.801847,0.000478
40800,0.000116,1.577671,0.000383
41000,0.000080,1.743912,0.000895
41200,0.000088,1.609378,0.000227
41400,0.000181,2.030757,0.000312
41600,0.000090,1.701411,0.000339
41800,0.000118,1.868663,0.000561
42000,0.000090,1.792626,0.000398
42200,0.000088,1.993675,0.001578
42400,0.000099,1.590281,0.000388
42600,0.000190,1.864877,0.000358
42800,0.000189,1.887437,0.000309
43000,0.000092,1.685485,0.000380
43200,0.000098,1.752586,0.000607
43400,0.000150,1.752449,0.000358
43600,0.000195,3.525541,0.000392
43800,0.000167,2.570561,0.000332
44000,0.000109,2.303219,0.000883
44200,0.000179,2.687394,0.002371
44400,0.000168,3.199861,0.000460
44600,0.000157,2.368192,0.000400
44800,0.000200,3.495495,0.000525
45000,0.000105,2.559963,0.000719
45200,0.000391,2.951953,0.000849
45400,0.000162,6.037593,0.000641
45600,0.000174,2.915738,0.000537
45800,0.000107,2.557638,0.000611
46000,0.000167,3.118497,0.000648
46200,0.000173,2.493761,0.000757
46400,0.000237,2.457736,0.000441
46600,0.000136,2.464735,0.000462
